"Brew Type","Price (AED)","Flavor Notes","ID","Created Date","Updated Date","Owner","AED","Image"
"Cold Brew",38,"Chilled to perfection, this smooth and refreshing coffee enhances its natural sweetness.","051539c9-e453-473e-8103-38e19b5d8ea2",2024-11-13T15:53:27Z,2024-11-21T06:39:55Z,"edde338d-c43f-495b-9819-3099bf28f025","AED","wix:image://v1/edde33_697f37730e7f4085ac48a76f328cbaf7~mv2.jpg/Cold%20Brew_edited.jpg#originWidth=300&originHeight=300"
"V60",39,"A classic pour-over method delivering a clean, vibrant cup with every brew.","08a0e8a6-6d13-48af-9d38-9997f15f30b4",2024-11-13T15:38:41Z,2024-11-21T06:38:56Z,"edde338d-c43f-495b-9819-3099bf28f025","AED","wix:image://v1/edde33_40dbe60559ec49879863bae509fddad6~mv2.jpg/V60_edited.jpg#originWidth=300&originHeight=300"
"Kalita wave",40,"A pour-over style that ensures consistency and balance, showcasing the coffee’s finest attributes.","321f2b8d-180d-4c78-91a0-4ee38bafb582",2024-11-13T15:54:23Z,2024-11-21T06:40:09Z,"edde338d-c43f-495b-9819-3099bf28f025","AED","wix:image://v1/edde33_0d6a213ec9e1479697d79572136df204~mv2.jpg/kalita%20wave_edited.jpg#originWidth=337&originHeight=337"
"Syphon",30,"A visually stunning brew with rich, aromatic coffee that’s bold and full-bodied.","361a9176-4fc0-4439-83b1-f5d937789550",2024-11-13T15:38:41Z,2024-11-21T06:39:23Z,"edde338d-c43f-495b-9819-3099bf28f025","AED","wix:image://v1/edde33_9aabdd685621473b9cca4bfac58f08ea~mv2.jpg/Syphon_edited_edited.jpg#originWidth=338&originHeight=338"
"v60-Signature lune",95,"A premium pour-over experience crafted with precision, bringing out the nuanced flavors of our hand-selected beans.","667e0346-0394-455a-b476-84e815d19382",2024-11-13T15:38:41Z,2024-11-21T06:38:27Z,"edde338d-c43f-495b-9819-3099bf28f025","AED","wix:image://v1/edde33_270b4f7b9a64488a8b5f9a518052820f~mv2.png/Yv60-Signature%20lune_edited.png#originWidth=331&originHeight=331"
"Chemex",32,"A timeless brewing process that creates a smooth and crisp coffee, perfect for savoring delicate notes.","b116fb93-8a5f-4c5c-87d8-48c597e6656d",2024-11-13T15:38:41Z,2024-11-21T06:39:15Z,"edde338d-c43f-495b-9819-3099bf28f025","AED","wix:image://v1/edde33_8352b5f15abb4489b19af0e6cf30cd6f~mv2.jpg/Chemex_edited.jpg#originWidth=300&originHeight=300"
"Aeropress",35,"An innovative brew offering a balanced cup with deep, flavorful complexity.","f4671459-e03e-4194-8b83-7ed5fc47ccbc",2024-11-13T15:38:41Z,2024-11-21T06:39:42Z,"edde338d-c43f-495b-9819-3099bf28f025","AED","wix:image://v1/edde33_21fb965b70f4477c8a15df396203b791~mv2.jpg/Aeropress_edited_edited.jpg#originWidth=300&originHeight=300"
