"Name","ID","Created Date","Updated Date","Owner","Description","Image","Price","AED"
"Figs & Nectarine Salad","0170b838-716c-40fe-8568-b3725952f0af",2024-11-13T13:34:09Z,2024-11-15T08:16:38Z,"edde338d-c43f-495b-9819-3099bf28f025","<p class=""font_8"">A refreshing fruit salad with varied textures in every bite.</p>","wix:image://v1/edde33_e462e53387e54213a381382eac616f90~mv2.jpg/Figs%20&%20%20Nectarine%20salad.jpg#originWidth=4096&originHeight=4096","68","AED"
"Burrata Salad","5527e7cd-1427-4ac6-993b-ea14f2bd6bf1",2024-11-13T13:32:28Z,2024-11-15T08:18:49Z,"edde338d-c43f-495b-9819-3099bf28f025","<p class=""font_8"">Creamy burrata and pan-grilled cherry tomatoes.</p>","wix:image://v1/edde33_d1b55359650a4863bee5d022fe124915~mv2.jpg/Buratra%20caprese_edited.jpg#originWidth=2649&originHeight=2649","68","AED"
"Ciliegina Salad","9ffb3bcf-caa2-414b-a811-b1fd6d28f1b3",2024-11-13T13:33:10Z,2024-11-15T08:16:22Z,"edde338d-c43f-495b-9819-3099bf28f025","<p class=""font_8"">Fresh organic mezlun greens, ciliegina cheese, cherry tomatoes, cucumber, and mini croissants in balsamic pesto vinaigrette.</p>","wix:image://v1/edde33_0d8b478804e64f2cb73346a6fd98bd59~mv2.jpg/IMG_3867_edited.jpg#originWidth=2250&originHeight=2250","68","AED"
