"Smoothie Name","Price (AED)","Smoothie Image","ID","Created Date","Updated Date","Owner","AED","Description"
"Matcha Smoothie",45,"wix:image://v1/edde33_e1426ef1c6484a0d9c47f32208cf7345~mv2.jpg/Matcha%20Smoothie_edited.jpg#originWidth=192&originHeight=192","26ad11da-0aa1-477d-83d7-698bfa8f91a7",2024-11-13T15:56:33Z,2024-11-13T16:05:16Z,"edde338d-c43f-495b-9819-3099bf28f025","AED",
"Healthy Organic Lune Smoothie",38,"wix:image://v1/edde33_fac99a07adaa4e9ea94fadf1f61b7efb~mv2.jpg/Healthy%20Organic%20Lune%20Smoothie_edited.jpg#originWidth=192&originHeight=192","99efa4ba-a818-4a3a-8eee-707341595cfe",2024-11-13T15:56:33Z,2024-11-13T16:05:41Z,"edde338d-c43f-495b-9819-3099bf28f025","AED",
"Smoothie Coconut matcha",40,"wix:image://v1/edde33_9606538e4b644ba3a80a1febbc129292~mv2.jpg/Smoothie%20Coconut%20matcha_edited.jpg#originWidth=192&originHeight=192","a7e49ac9-5a40-493c-be1e-7b3324a856b5",2024-11-13T15:56:33Z,2024-11-13T16:06:26Z,"edde338d-c43f-495b-9819-3099bf28f025","AED",
"Matcha Strawberry Smoothie",48,"wix:image://v1/edde33_9833f8cef666439d8f7ebdcb4d00281d~mv2.jpg/Matcha%20Strawberry%20Smoothie_edited.jpg#originWidth=167&originHeight=167","b4bc4b69-f90f-4ff7-a96f-314e4ff25f11",2024-11-13T15:56:33Z,2024-11-13T16:06:03Z,"edde338d-c43f-495b-9819-3099bf28f025","AED",
"Acai Smoothie",48,"wix:image://v1/edde33_3e98e4180ae74b928b3a6fe03d33a6e8~mv2.jpg/Acai%20Smoothie_edited.jpg#originWidth=167&originHeight=167","d73dfe74-b067-40f5-acf7-0bc1785a9f9f",2024-11-13T15:56:33Z,2024-11-13T16:04:01Z,"edde338d-c43f-495b-9819-3099bf28f025","AED",
