"Product Name","Price","ID","Created Date","Updated Date","Owner","Description","AED","Image"
"Ginger Ale Britvic",15,"4832073b-8cb5-41da-9f32-5f5d9f4fb60b",2024-11-14T09:03:49Z,2024-11-14T09:05:18Z,"edde338d-c43f-495b-9819-3099bf28f025",,"AED","wix:image://v1/edde33_a53f2eda6aab4ddab113945e59cdbc9f~mv2.webp/Ginger%20Ale%20Britvic.webp#originWidth=450&originHeight=300"
"Evian Still Water",16,"66bcc19b-3fdf-45f4-8ec5-760e05fde65f",2024-11-14T09:03:49Z,2024-11-14T09:05:39Z,"edde338d-c43f-495b-9819-3099bf28f025",,"AED","wix:image://v1/edde33_1e497526e28d4099944bef8665f7ac29~mv2.webp/Evian%20Still%20Water.webp#originWidth=450&originHeight=300"
"Evian Sparkling Water",18,"d2d63f31-d9a8-4d04-b64b-26de8778cc91",2024-11-14T09:03:49Z,2024-11-14T09:05:31Z,"edde338d-c43f-495b-9819-3099bf28f025",,"AED","wix:image://v1/edde33_dbde81e358d24f0996b48c86f610dee4~mv2.webp/Evian%20Sparkling%20Water.webp#originWidth=450&originHeight=300"
